GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
algoroma,algoroma,App,7,0,0,0,3,0,2,0,2,0
algoroma,algoroma.Estado,Novato,8,24,0,0,1,7,1,7,1,7
algoroma,algoroma.Estado,Senior,8,27,0,0,1,7,1,7,1,7
algoroma,algoroma.Estado,Leyenda,19,16,0,0,5,3,5,3,5,3
algoroma,algoroma.Gladiadores,Gladiador,2,97,1,3,1,22,1,12,0,11
algoroma,algoroma.Armaduras,Escudo,0,11,0,0,0,3,0,2,0,2
algoroma,algoroma.Armaduras,Pesada,0,11,0,0,0,3,0,2,0,2
algoroma,algoroma.Armaduras,Escamas,0,11,0,0,0,3,0,2,0,2
algoroma,algoroma.Armas,Espada,0,14,0,0,0,4,0,3,0,3
algoroma,algoroma.Armas,Tridente,0,14,0,0,0,4,0,3,0,3
algoroma,algoroma.Armas,Jabalina,3,11,0,0,1,3,1,2,1,2
